date,session_key,air_temperature,pressure,humidity,wind_direction,meeting_key,rainfall,wind_speed,track_temperature
2024-03-02T15:19:56.607000+00:00,9472,18.2,1017.2,50.0,330,1229,0,0.5,23.5
2024-03-02T15:20:56.571000+00:00,9472,18.2,1017.2,50.0,155,1229,0,0.6,23.4
2024-03-02T15:21:56.563000+00:00,9472,18.2,1017.2,50.0,157,1229,0,0.5,23.5
2024-03-02T15:22:56.567000+00:00,9472,18.3,1017.2,50.0,354,1229,0,0.5,23.6
2024-03-02T15:23:56.570000+00:00,9472,18.3,1017.2,50.0,42,1229,0,0.4,23.5
2024-03-02T15:24:56.575000+00:00,9472,18.2,1017.1,50.0,123,1229,0,1.0,23.4
2024-03-02T15:25:56.572000+00:00,9472,18.2,1017.2,50.0,0,1229,0,0.5,23.3
2024-03-02T15:26:56.572000+00:00,9472,18.1,1017.1,50.0,0,1229,0,0.4,23.5
2024-03-02T15:27:56.561000+00:00,9472,18.1,1017.2,50.0,179,1229,0,0.0,23.3
2024-03-02T15:28:56.565000+00:00,9472,18.1,1017.2,50.0,236,1229,0,0.4,23.2
2024-03-02T15:29:56.566000+00:00,9472,18.1,1017.2,50.0,150,1229,0,0.3,23.3
2024-03-02T15:30:56.567000+00:00,9472,18.1,1017.1,51.0,178,1229,0,0.7,23.4
2024-03-02T15:31:56.552000+00:00,9472,18.1,1017.2,50.0,20,1229,0,0.4,23.4
2024-03-02T15:32:56.574000+00:00,9472,18.1,1017.1,50.0,303,1229,0,0.0,23.3
2024-03-02T15:33:56.568000+00:00,9472,18.1,1017.1,50.0,71,1229,0,0.5,23.3
2024-03-02T15:34:56.569000+00:00,9472,18.1,1017.1,50.0,47,1229,0,0.6,23.3
2024-03-02T15:35:56.571000+00:00,9472,18.1,1017.1,50.0,27,1229,0,0.7,23.2
2024-03-02T15:36:56.575000+00:00,9472,18.1,1017.2,50.0,65,1229,0,0.5,23.1
2024-03-02T15:37:56.571000+00:00,9472,18.1,1017.1,50.0,94,1229,0,0.7,23.1
2024-03-02T15:38:56.574000+00:00,9472,18.1,1017.2,50.0,37,1229,0,0.5,23.2
2024-03-02T15:39:56.573000+00:00,9472,18.1,1017.1,50.0,71,1229,0,0.9,23.2
2024-03-02T15:40:56.581000+00:00,9472,18.1,1017.1,50.0,338,1229,0,0.8,23.0
2024-03-02T15:41:56.583000+00:00,9472,18.1,1017.2,50.0,25,1229,0,0.3,23.0
2024-03-02T15:42:56.581000+00:00,9472,18.1,1017.2,49.0,46,1229,0,0.9,23.0
2024-03-02T15:43:56.578000+00:00,9472,18.1,1017.1,49.0,47,1229,0,0.7,23.0
2024-03-02T15:44:56.584000+00:00,9472,18.1,1017.2,49.0,46,1229,0,0.7,22.9
2024-03-02T15:45:56.585000+00:00,9472,18.1,1017.2,49.0,29,1229,0,0.0,22.9
2024-03-02T15:46:56.577000+00:00,9472,18.1,1017.2,49.0,246,1229,0,0.7,22.9
2024-03-02T15:47:56.576000+00:00,9472,18.1,1017.2,49.0,0,1229,0,0.0,22.9
2024-03-02T15:48:56.596000+00:00,9472,18.1,1017.3,49.0,55,1229,0,0.6,22.8
2024-03-02T15:49:56.581000+00:00,9472,18.1,1017.2,49.0,0,1229,0,0.8,22.8
2024-03-02T15:50:56.608000+00:00,9472,18.0,1017.3,49.0,45,1229,0,0.6,22.8
2024-03-02T15:51:56.626000+00:00,9472,18.0,1017.2,49.0,28,1229,0,0.7,22.7
