session_key,driver_number,final_position,avg_lap_time,lap_time_std,best_lap_time,consistency_score,total_laps,qualifying_position,qualifying_best_lap,avg_finish_position,best_finish_position,worst_finish_position,finish_position_std,races_completed,podium_rate,win_rate,avg_finish_last_3,trend_last_3,avg_finish_last_5,trend_last_5,avg_finish_last_10,trend_last_10,team_avg_position,team_consistency,teammate_avg_position,avg_air_temp,avg_track_temp,avg_humidity,rainfall,weather_variability,num_pit_stops,avg_pit_duration,total_pit_time
9934,12,17,1.0742857142857145e-07,6.462061726588636e-10,1.06e-07,0.006015217032728782,14,,,10.857142857142858,3.0,19.0,5.680255814877441,14,0.07142857142857142,0.0,12.666666666666666,13.0,14.8,-2.0,12.6,5.0,7.857142857142857,5.369984608346428,4.857142857142857,20.942500000000003,35.21375,61.125,0,2.224076753411017,0,,0.0
9934,14,14,1.0735714285714288e-07,4.972451580988446e-10,1.07e-07,0.004631691426070408,14,,,12.857142857142858,7.0,20.0,4.340130723132375,14,0.0,0.0,7.666666666666667,2.0,10.2,-10.0,12.2,-7.0,13.0,4.438885412319595,13.153846153846153,20.942500000000003,35.21375,61.125,0,2.224076753411017,0,,0.0
9934,16,4,1.0649999999999997e-07,9.405399431259617e-10,1.06e-07,0.008831360968318892,14,,,6.357142857142857,2.0,20.0,4.760059166156038,14,0.2857142857142857,0.0,7.333333333333333,9.0,5.4,12.0,6.7,10.0,5.892857142857143,3.7257720744860934,5.428571428571429,20.942500000000003,35.21375,61.125,0,2.224076753411017,0,,0.0
9934,18,13,1.0714285714285714e-07,3.6313651960128e-10,1.07e-07,0.00338927418294528,14,,,13.153846153846153,6.0,20.0,4.537809601154654,13,0.0,0.0,12.666666666666666,-10.0,13.6,-8.0,14.4,-13.0,13.0,4.438885412319595,12.857142857142858,20.942500000000003,35.21375,61.125,0,2.224076753411017,0,,0.0
9934,22,11,1.0707142857142858e-07,2.672612419124232e-10,1.07e-07,0.0024961023260666607,14,,,12.785714285714286,6.0,19.0,3.801852394906075,14,0.0,0.0,14.333333333333334,3.0,14.6,-2.0,13.0,6.0,9.464285714285714,5.772361133992267,7.235294117647059,20.942500000000003,35.21375,61.125,0,2.224076753411017,0,,0.0
9934,23,16,1.0750000000000002e-07,6.50443635587988e-10,1.07e-07,0.0060506384705859345,14,,,10.071428571428571,4.0,20.0,5.10551922243098,14,0.0,0.0,15.0,-12.0,14.6,-1.0,10.8,-4.0,11.892857142857142,5.045077414911388,13.714285714285714,20.942500000000003,35.21375,61.125,0,2.224076753411017,0,,0.0
9934,27,18,1.0750000000000002e-07,5.188745216627686e-10,1.07e-07,0.004826739736397847,14,,,11.928571428571429,3.0,19.0,4.7126620580590535,14,0.07142857142857142,0.0,6.666666666666667,-5.0,8.2,-13.0,10.7,-10.0,13.964285714285714,4.451983048173532,16.0,20.942500000000003,35.21375,61.125,0,2.224076753411017,0,,0.0
9934,30,10,1.0707142857142858e-07,2.6726124191242323e-10,1.07e-07,0.002496102326066661,14,,,13.642857142857142,6.0,19.0,4.13361037035151,14,0.0,0.0,14.666666666666666,0.0,12.6,11.0,13.0,2.0,12.607142857142858,4.312268923119953,12.117647058823529,20.942500000000003,35.21375,61.125,0,2.224076753411017,0,,0.0
9934,31,5,1.0685714285714286e-07,3.631365196012847e-10,1.06e-07,0.0033983364133810066,14,,,12.642857142857142,7.0,20.0,3.9207714776038447,14,0.0,0.0,10.666666666666666,4.0,11.0,6.0,12.3,5.0,12.678571428571429,3.5461606142475857,12.714285714285714,20.942500000000003,35.21375,61.125,0,2.224076753411017,0,,0.0
9934,43,19,1.0792857142857144e-07,2.6726124191242323e-10,1.07e-07,0.0024762788794003474,14,,,15.333333333333334,13.0,20.0,2.357022603955158,6,0.0,0.0,16.0,7.0,15.2,7.0,,,14.428571428571429,3.886134431067269,14.181818181818182,20.942500000000003,35.21375,61.125,0,2.224076753411017,0,,0.0
