date,session_key,rainfall,humidity,pressure,air_temperature,meeting_key,track_temperature,wind_direction,wind_speed
2025-11-29T14:16:35.071000+00:00,9845,0,50.0,1015.5,24.8,1275,31.0,334,1.6
2025-11-29T14:17:35.085000+00:00,9845,0,51.0,1015.5,24.8,1275,30.7,339,1.6
2025-11-29T14:18:35.076000+00:00,9845,0,50.0,1015.6,24.8,1275,30.7,349,1.8
2025-11-29T14:19:35.077000+00:00,9845,0,50.0,1015.6,24.7,1275,30.7,19,1.7
2025-11-29T14:20:35.084000+00:00,9845,0,50.0,1015.6,24.7,1275,30.7,324,1.9
2025-11-29T14:21:35.083000+00:00,9845,0,51.0,1015.6,24.6,1275,30.7,127,1.8
2025-11-29T14:22:35.085000+00:00,9845,0,50.0,1015.7,24.6,1275,30.7,336,2.6
2025-11-29T14:23:35.090000+00:00,9845,0,50.0,1015.7,24.6,1275,30.7,336,2.6
2025-11-29T14:24:35.095000+00:00,9845,0,50.0,1015.7,24.6,1275,30.7,266,1.7
2025-11-29T14:25:35.085000+00:00,9845,0,50.0,1015.7,24.5,1275,30.7,2,1.3
2025-11-29T14:26:35.082000+00:00,9845,0,50.0,1015.6,24.5,1275,30.8,6,1.3
2025-11-29T14:27:35.108000+00:00,9845,0,50.0,1015.7,24.5,1275,30.6,10,1.0
2025-11-29T14:28:35.124000+00:00,9845,0,50.0,1015.8,24.5,1275,30.6,359,1.5
2025-11-29T14:29:35.124000+00:00,9845,0,50.0,1015.7,24.5,1275,30.2,352,1.5
2025-11-29T14:30:35.143000+00:00,9845,0,51.0,1015.7,24.5,1275,30.2,321,1.6
2025-11-29T14:31:35.127000+00:00,9845,0,51.0,1015.8,24.4,1275,30.3,20,2.1
2025-11-29T14:32:35.133000+00:00,9845,0,51.0,1015.8,24.4,1275,30.3,276,0.8
2025-11-29T14:33:35.159000+00:00,9845,0,51.0,1015.7,24.4,1275,30.3,317,0.9
