date,session_key,meeting_key,pressure,wind_speed,humidity,rainfall,air_temperature,track_temperature,wind_direction
2025-11-29T18:38:35.942000+00:00,9846,1275,1016.6,0.4,74.0,0,20.5,25.8,330
2025-11-29T18:39:35.949000+00:00,9846,1275,1016.5,1.0,74.0,0,20.4,25.6,333
2025-11-29T18:40:35.951000+00:00,9846,1275,1016.5,1.0,74.0,0,20.4,25.3,319
2025-11-29T18:41:35.942000+00:00,9846,1275,1016.5,1.0,74.0,0,20.4,25.3,332
2025-11-29T18:42:35.962000+00:00,9846,1275,1016.5,0.8,74.0,0,20.4,25.3,356
2025-11-29T18:43:35.951000+00:00,9846,1275,1016.5,0.6,74.0,0,20.4,25.5,329
2025-11-29T18:44:36.023000+00:00,9846,1275,1016.5,0.6,74.0,0,20.4,25.5,0
2025-11-29T18:45:35.950000+00:00,9846,1275,1016.4,0.5,74.0,0,20.4,25.3,301
2025-11-29T18:46:35.959000+00:00,9846,1275,1016.5,0.4,74.0,0,20.4,24.9,0
2025-11-29T18:47:35.965000+00:00,9846,1275,1016.5,0.6,75.0,0,20.3,24.9,34
2025-11-29T18:48:35.962000+00:00,9846,1275,1016.4,0.9,75.0,0,20.3,25.2,356
2025-11-29T18:49:35.954000+00:00,9846,1275,1016.5,0.8,75.0,0,20.3,25.0,4
2025-11-29T18:50:35.970000+00:00,9846,1275,1016.4,0.7,75.0,0,20.3,24.8,0
2025-11-29T18:51:36.001000+00:00,9846,1275,1016.5,0.6,75.0,0,20.3,24.8,0
2025-11-29T18:52:36.001000+00:00,9846,1275,1016.5,0.4,75.0,0,20.3,24.9,1
2025-11-29T18:53:36.023000+00:00,9846,1275,1016.5,1.2,76.0,0,20.3,24.9,14
2025-11-29T18:54:36.038000+00:00,9846,1275,1016.5,1.0,75.0,0,20.2,24.9,336
2025-11-29T18:55:36.023000+00:00,9846,1275,1016.6,0.9,76.0,0,20.3,25.0,15
2025-11-29T18:56:36.024000+00:00,9846,1275,1016.5,0.9,75.0,0,20.3,25.0,298
2025-11-29T18:57:36.042000+00:00,9846,1275,1016.5,0.0,75.0,0,20.3,25.0,0
2025-11-29T18:58:36.054000+00:00,9846,1275,1016.5,0.6,75.0,0,20.3,24.9,1
2025-11-29T18:59:36.085000+00:00,9846,1275,1016.5,1.3,75.0,0,20.2,24.9,354
2025-11-29T19:00:36.072000+00:00,9846,1275,1016.5,1.1,75.0,0,20.2,24.7,4
2025-11-29T19:01:36.078000+00:00,9846,1275,1016.5,0.9,76.0,0,20.2,24.7,26
2025-11-29T19:02:36.079000+00:00,9846,1275,1016.5,0.8,75.0,0,20.2,24.6,10
2025-11-29T19:03:36.082000+00:00,9846,1275,1016.5,1.0,76.0,0,20.2,24.7,2
2025-11-29T19:04:36.113000+00:00,9846,1275,1016.5,0.5,76.0,0,20.1,24.7,334
2025-11-29T19:05:36.139000+00:00,9846,1275,1016.6,1.0,75.0,0,20.1,25.0,18
2025-11-29T19:06:36.108000+00:00,9846,1275,1016.6,0.8,75.0,0,20.1,25.0,20
2025-11-29T19:07:36.103000+00:00,9846,1275,1016.4,0.6,75.0,0,20.2,24.9,38
2025-11-29T19:08:36.103000+00:00,9846,1275,1016.6,0.3,75.0,0,20.2,24.9,316
2025-11-29T19:09:36.104000+00:00,9846,1275,1016.5,0.3,75.0,0,20.1,24.7,353
2025-11-29T19:10:36.114000+00:00,9846,1275,1016.5,0.7,75.0,0,20.1,24.7,0
2025-11-29T19:11:36.104000+00:00,9846,1275,1016.5,0.8,75.0,0,20.1,24.8,12
2025-11-29T19:12:36.127000+00:00,9846,1275,1016.5,0.8,75.0,0,20.1,24.8,12
2025-11-29T19:13:36.127000+00:00,9846,1275,1016.5,0.8,75.0,0,20.1,24.8,13
