date,session_key,meeting_key,air_temperature,pressure,track_temperature,rainfall,wind_direction,wind_speed,humidity
2025-11-08T14:31:08.524000+00:00,9864,1273,23.5,919.2,28.6,0,48,2.2,70.0
2025-11-08T14:32:08.526000+00:00,9864,1273,23.5,919.3,28.7,0,40,1.6,69.0
2025-11-08T14:33:08.532000+00:00,9864,1273,23.5,919.2,28.7,0,18,4.0,69.0
2025-11-08T14:34:08.525000+00:00,9864,1273,23.5,919.2,28.9,0,34,2.2,70.0
2025-11-08T14:35:08.533000+00:00,9864,1273,23.5,919.2,29.2,0,66,1.0,69.0
2025-11-08T14:36:08.541000+00:00,9864,1273,23.6,919.3,29.3,0,79,2.0,69.0
2025-11-08T14:37:08.534000+00:00,9864,1273,23.6,919.2,29.7,0,91,1.3,68.0
2025-11-08T14:38:08.530000+00:00,9864,1273,23.6,919.2,29.8,0,69,2.1,67.0
2025-11-08T14:39:08.528000+00:00,9864,1273,23.6,919.1,29.8,0,28,1.1,68.0
2025-11-08T14:40:08.531000+00:00,9864,1273,23.5,919.1,29.5,0,46,3.2,66.0
2025-11-08T14:41:08.529000+00:00,9864,1273,23.5,919.1,29.4,0,55,3.6,67.0
2025-11-08T14:42:08.553000+00:00,9864,1273,23.5,919.1,29.2,0,60,1.8,68.0
2025-11-08T14:43:08.569000+00:00,9864,1273,23.4,919.0,29.2,0,6,2.4,67.0
2025-11-08T14:44:08.582000+00:00,9864,1273,23.5,919.1,29.3,0,27,2.4,67.0
2025-11-08T14:45:08.600000+00:00,9864,1273,23.4,919.0,29.0,0,46,2.1,67.0
2025-11-08T14:46:08.604000+00:00,9864,1273,23.4,918.9,28.7,0,43,1.1,67.0
2025-11-08T14:47:08.618000+00:00,9864,1273,23.5,919.1,28.8,0,18,2.2,67.0
2025-11-08T14:48:08.631000+00:00,9864,1273,23.5,919.1,28.7,0,31,3.3,67.0
2025-11-08T14:49:08.638000+00:00,9864,1273,23.4,919.1,28.7,0,95,2.7,67.0
2025-11-08T14:50:08.620000+00:00,9864,1273,23.4,919.1,28.7,0,47,1.7,68.0
2025-11-08T14:51:08.620000+00:00,9864,1273,23.4,919.0,28.9,0,32,2.0,68.0
2025-11-08T14:52:08.620000+00:00,9864,1273,23.4,919.0,29.2,0,30,1.9,67.0
2025-11-08T14:53:08.624000+00:00,9864,1273,23.4,918.9,29.2,0,59,2.7,67.0
2025-11-08T14:54:08.621000+00:00,9864,1273,23.5,919.0,29.4,0,25,1.6,67.0
2025-11-08T14:55:08.621000+00:00,9864,1273,23.5,919.0,29.5,0,355,1.8,67.0
2025-11-08T14:56:08.619000+00:00,9864,1273,23.5,919.0,29.4,0,26,3.3,67.0
2025-11-08T14:57:08.624000+00:00,9864,1273,23.5,919.1,29.2,0,46,2.3,67.0
2025-11-08T14:58:08.623000+00:00,9864,1273,23.5,919.1,29.2,0,16,2.7,67.0
