date,session_key,rainfall,humidity,pressure,meeting_key,air_temperature,track_temperature,wind_direction,wind_speed
2025-11-28T17:43:29.286000+00:00,9841,0,67.0,1017.7,1275,21.6,26.2,177,0.9
2025-11-28T17:44:29.290000+00:00,9841,0,67.0,1017.7,1275,21.6,26.4,24,0.7
2025-11-28T17:45:29.290000+00:00,9841,0,67.0,1017.6,1275,21.6,26.4,274,0.8
2025-11-28T17:46:29.302000+00:00,9841,0,67.0,1017.7,1275,21.6,26.2,309,0.7
2025-11-28T17:47:29.299000+00:00,9841,0,68.0,1017.6,1275,21.5,26.1,341,0.4
2025-11-28T17:48:29.293000+00:00,9841,0,68.0,1017.7,1275,21.6,25.8,10,1.0
2025-11-28T17:49:29.293000+00:00,9841,0,68.0,1017.6,1275,21.6,26.0,11,1.0
2025-11-28T17:50:29.312000+00:00,9841,0,68.0,1017.7,1275,21.6,26.1,358,1.1
2025-11-28T17:51:29.318000+00:00,9841,0,68.0,1017.5,1275,21.6,26.1,350,1.1
2025-11-28T17:52:29.350000+00:00,9841,0,69.0,1017.6,1275,21.6,26.1,3,1.5
2025-11-28T17:53:29.345000+00:00,9841,0,69.0,1017.6,1275,21.6,26.0,0,1.4
2025-11-28T17:54:29.373000+00:00,9841,0,69.0,1017.6,1275,21.5,26.1,19,1.2
2025-11-28T17:55:29.389000+00:00,9841,0,69.0,1017.5,1275,21.6,26.2,0,1.2
2025-11-28T17:56:29.398000+00:00,9841,0,69.0,1017.6,1275,21.6,26.3,0,0.6
2025-11-28T17:57:29.402000+00:00,9841,0,69.0,1017.6,1275,21.6,26.2,290,0.5
2025-11-28T17:58:29.403000+00:00,9841,0,69.0,1017.5,1275,21.5,26.3,0,0.9
2025-11-28T17:59:29.401000+00:00,9841,0,69.0,1017.6,1275,21.5,26.3,22,0.8
2025-11-28T18:00:29.413000+00:00,9841,0,69.0,1017.5,1275,21.5,26.3,90,0.7
2025-11-28T18:01:29.405000+00:00,9841,0,69.0,1017.6,1275,21.5,26.2,0,0.6
2025-11-28T18:02:29.413000+00:00,9841,0,70.0,1017.6,1275,21.5,26.1,0,0.0
2025-11-28T18:03:29.403000+00:00,9841,0,69.0,1017.6,1275,21.5,26.2,14,0.8
2025-11-28T18:04:29.407000+00:00,9841,0,69.0,1017.5,1275,21.5,26.2,14,0.5
2025-11-28T18:05:29.407000+00:00,9841,0,69.0,1017.5,1275,21.5,25.6,15,1.0
2025-11-28T18:06:29.423000+00:00,9841,0,70.0,1017.5,1275,21.5,25.5,331,0.8
2025-11-28T18:07:29.411000+00:00,9841,0,70.0,1017.6,1275,21.4,25.6,22,0.8
2025-11-28T18:08:29.414000+00:00,9841,0,70.0,1017.6,1275,21.4,25.7,8,1.1
2025-11-28T18:09:29.430000+00:00,9841,0,70.0,1017.6,1275,21.5,25.8,356,0.9
2025-11-28T18:10:29.441000+00:00,9841,0,70.0,1017.5,1275,21.5,25.8,0,0.6
2025-11-28T18:11:29.455000+00:00,9841,0,70.0,1017.6,1275,21.5,26.0,11,1.2
2025-11-28T18:12:29.455000+00:00,9841,0,70.0,1017.6,1275,21.5,26.0,3,0.8
2025-11-28T18:13:29.455000+00:00,9841,0,70.0,1017.6,1275,21.5,26.0,4,0.6
2025-11-28T18:14:29.454000+00:00,9841,0,70.0,1017.6,1275,21.5,25.5,0,1.1
2025-11-28T18:15:29.470000+00:00,9841,0,71.0,1017.6,1275,21.4,25.6,320,0.7
2025-11-28T18:16:29.456000+00:00,9841,0,71.0,1017.5,1275,21.5,25.6,10,1.0
2025-11-28T18:17:29.450000+00:00,9841,0,71.0,1017.6,1275,21.5,25.8,6,1.0
2025-11-28T18:18:29.455000+00:00,9841,0,71.0,1017.6,1275,21.5,25.6,9,0.9
2025-11-28T18:19:29.465000+00:00,9841,0,71.0,1017.5,1275,21.4,25.3,11,1.2
