date,session_key,pressure,meeting_key,track_temperature,wind_direction,wind_speed,rainfall,humidity,air_temperature
2025-12-06T10:47:01.275000+00:00,9834,1016.7,1276,38.2,334,2.6,0,66.0,27.1
2025-12-06T10:48:01.266000+00:00,9834,1016.7,1276,37.9,294,2.7,0,66.0,27.1
2025-12-06T10:49:01.257000+00:00,9834,1016.7,1276,38.8,288,2.3,0,65.0,27.1
2025-12-06T10:50:01.273000+00:00,9834,1016.6,1276,38.6,56,2.2,0,65.0,27.2
2025-12-06T10:51:01.274000+00:00,9834,1016.8,1276,37.9,337,1.8,0,65.0,27.2
2025-12-06T10:52:01.270000+00:00,9834,1016.7,1276,37.9,342,2.4,0,65.0,27.2
2025-12-06T10:53:01.354000+00:00,9834,1016.6,1276,37.9,311,3.2,0,65.0,27.2
2025-12-06T10:54:01.275000+00:00,9834,1016.7,1276,38.0,22,2.3,0,65.0,27.1
2025-12-06T10:55:01.274000+00:00,9834,1016.7,1276,37.7,319,2.9,0,66.0,27.2
2025-12-06T10:56:01.274000+00:00,9834,1016.7,1276,37.7,295,3.0,0,66.0,27.1
2025-12-06T10:57:01.275000+00:00,9834,1016.7,1276,37.7,332,2.2,0,66.0,27.1
2025-12-06T10:58:01.275000+00:00,9834,1016.6,1276,37.5,287,2.9,0,66.0,27.1
2025-12-06T10:59:01.278000+00:00,9834,1016.7,1276,37.5,285,2.9,0,65.0,27.1
2025-12-06T11:00:01.278000+00:00,9834,1016.6,1276,37.7,327,3.0,0,65.0,27.1
2025-12-06T11:01:01.282000+00:00,9834,1016.7,1276,37.7,331,1.6,0,65.0,27.1
2025-12-06T11:02:01.284000+00:00,9834,1016.6,1276,37.8,302,2.2,0,64.0,27.1
2025-12-06T11:03:01.301000+00:00,9834,1016.6,1276,37.7,9,2.2,0,64.0,27.1
2025-12-06T11:04:01.289000+00:00,9834,1016.6,1276,37.7,289,2.6,0,64.0,27.0
2025-12-06T11:05:01.308000+00:00,9834,1016.7,1276,37.4,350,2.6,0,64.0,27.0
2025-12-06T11:06:01.295000+00:00,9834,1016.6,1276,37.4,302,2.7,0,65.0,27.0
2025-12-06T11:07:01.295000+00:00,9834,1016.6,1276,37.4,306,1.8,0,64.0,26.9
2025-12-06T11:08:01.640000+00:00,9834,1016.5,1276,37.3,357,2.5,0,64.0,27.0
2025-12-06T11:09:01.318000+00:00,9834,1016.6,1276,37.3,329,2.8,0,65.0,27.0
2025-12-06T11:10:01.329000+00:00,9834,1016.6,1276,37.3,354,2.3,0,65.0,27.0
2025-12-06T11:11:01.328000+00:00,9834,1016.6,1276,37.3,354,2.3,0,65.0,26.9
2025-12-06T11:12:01.330000+00:00,9834,1016.6,1276,37.3,354,2.3,0,65.0,26.9
2025-12-06T11:13:01.348000+00:00,9834,1016.6,1276,37.0,289,2.0,0,66.0,26.8
2025-12-06T11:14:01.348000+00:00,9834,1016.6,1276,37.8,296,2.0,0,65.0,26.8
2025-12-06T11:15:01.359000+00:00,9834,1016.6,1276,37.2,284,2.3,0,65.0,26.9
2025-12-06T11:16:01.387000+00:00,9834,1016.5,1276,36.8,332,2.2,0,64.0,27.0
2025-12-06T11:17:01.387000+00:00,9834,1016.6,1276,36.7,285,2.4,0,64.0,27.0
2025-12-06T11:18:01.388000+00:00,9834,1016.5,1276,36.8,335,2.8,0,65.0,27.0
2025-12-06T11:19:01.392000+00:00,9834,1016.6,1276,36.7,316,2.6,0,64.0,27.0
2025-12-06T11:20:01.406000+00:00,9834,1016.6,1276,37.0,287,2.8,0,65.0,27.0
2025-12-06T11:21:01.395000+00:00,9834,1016.6,1276,36.8,292,2.5,0,65.0,26.9
2025-12-06T11:22:01.395000+00:00,9834,1016.7,1276,36.7,333,2.2,0,65.0,26.9
2025-12-06T11:23:01.398000+00:00,9834,1016.6,1276,36.7,315,1.8,0,65.0,27.0
2025-12-06T11:24:01.394000+00:00,9834,1016.6,1276,36.7,281,2.3,0,65.0,27.0
2025-12-06T11:25:01.420000+00:00,9834,1016.6,1276,36.5,334,2.7,0,65.0,27.0
2025-12-06T11:26:01.431000+00:00,9834,1016.5,1276,36.7,282,2.1,0,64.0,27.0
2025-12-06T11:27:01.427000+00:00,9834,1016.5,1276,36.5,306,2.4,0,64.0,27.0
2025-12-06T11:28:01.431000+00:00,9834,1016.5,1276,36.3,346,2.0,0,65.0,27.0
2025-12-06T11:29:01.632000+00:00,9834,1016.6,1276,36.3,349,2.8,0,65.0,27.0
2025-12-06T11:30:01.433000+00:00,9834,1016.5,1276,36.3,330,2.1,0,65.0,26.9
2025-12-06T11:31:01.433000+00:00,9834,1016.4,1276,36.2,54,2.0,0,65.0,26.9
2025-12-06T11:32:01.432000+00:00,9834,1016.5,1276,36.2,296,1.7,0,65.0,26.9
2025-12-06T11:33:01.436000+00:00,9834,1016.5,1276,36.0,284,2.2,0,65.0,27.0
2025-12-06T11:34:01.438000+00:00,9834,1016.5,1276,36.0,302,1.7,0,64.0,26.9
2025-12-06T11:35:01.442000+00:00,9834,1016.5,1276,36.4,356,2.1,0,65.0,26.9
2025-12-06T11:36:01.434000+00:00,9834,1016.4,1276,36.2,311,1.7,0,65.0,26.8
