date,session_key,meeting_key,pressure,rainfall,wind_direction,wind_speed,humidity,track_temperature,air_temperature
2025-09-20T13:22:44.786000+00:00,9900,1269,1014.3,1,93,2.9,61.0,24.8,20.3
2025-09-20T13:23:44.624000+00:00,9900,1269,1013.8,1,348,1.5,62.0,24.5,20.3
2025-09-20T13:24:44.625000+00:00,9900,1269,1014.1,1,73,2.0,62.0,24.5,20.3
2025-09-20T13:25:44.625000+00:00,9900,1269,1014.0,1,112,1.3,62.0,24.3,20.2
2025-09-20T13:26:44.627000+00:00,9900,1269,1014.0,1,338,2.7,62.0,24.4,20.2
2025-09-20T13:27:44.643000+00:00,9900,1269,1014.2,1,121,1.6,62.0,24.4,20.1
2025-09-20T13:28:44.653000+00:00,9900,1269,1014.2,1,52,3.2,62.0,24.3,20.1
2025-09-20T13:29:44.678000+00:00,9900,1269,1014.1,1,89,3.8,62.0,24.2,20.1
2025-09-20T13:30:44.672000+00:00,9900,1269,1014.1,1,89,3.8,62.0,24.2,20.1
2025-09-20T13:31:44.670000+00:00,9900,1269,1014.2,1,47,2.1,61.0,24.3,20.1
2025-09-20T13:32:44.691000+00:00,9900,1269,1014.1,0,129,2.6,61.0,24.3,20.1
2025-09-20T13:33:44.668000+00:00,9900,1269,1014.0,0,75,3.0,61.0,24.2,20.1
2025-09-20T13:34:44.682000+00:00,9900,1269,1013.9,0,84,3.3,61.0,24.3,20.1
2025-09-20T13:35:44.679000+00:00,9900,1269,1014.2,0,92,1.5,61.0,24.4,20.2
2025-09-20T13:36:44.682000+00:00,9900,1269,1014.1,0,99,1.4,61.0,24.5,20.2
2025-09-20T13:37:44.667000+00:00,9900,1269,1013.9,0,52,1.1,60.0,24.5,20.2
2025-09-20T13:38:44.686000+00:00,9900,1269,1014.0,0,42,2.6,60.0,24.5,20.2
2025-09-20T13:39:44.686000+00:00,9900,1269,1014.0,0,86,0.5,60.0,24.6,20.2
2025-09-20T13:40:44.669000+00:00,9900,1269,1014.1,0,132,1.0,60.0,24.5,20.3
2025-09-20T13:41:44.676000+00:00,9900,1269,1014.2,0,331,1.7,60.0,24.6,20.3
2025-09-20T13:42:44.682000+00:00,9900,1269,1014.0,0,173,2.4,59.0,24.6,20.3
2025-09-20T13:43:44.679000+00:00,9900,1269,1013.7,0,115,1.6,60.0,24.6,20.3
2025-09-20T13:44:44.670000+00:00,9900,1269,1014.0,0,73,2.2,59.0,24.6,20.3
2025-09-20T13:45:44.690000+00:00,9900,1269,1014.0,0,94,3.0,60.0,24.5,20.3
2025-09-20T13:46:44.672000+00:00,9900,1269,1014.0,0,92,2.7,60.0,24.4,20.3
2025-09-20T13:47:44.686000+00:00,9900,1269,1014.1,0,93,2.4,60.0,24.3,20.3
2025-09-20T13:48:44.710000+00:00,9900,1269,1014.0,0,100,2.1,60.0,24.3,20.3
2025-09-20T13:49:44.731000+00:00,9900,1269,1014.0,0,66,1.7,60.0,24.3,20.3
2025-09-20T13:50:44.737000+00:00,9900,1269,1014.1,1,105,2.6,59.0,24.2,20.3
2025-09-20T13:51:44.730000+00:00,9900,1269,1014.0,1,285,3.8,60.0,24.1,20.3
2025-09-20T13:52:44.749000+00:00,9900,1269,1013.9,1,178,2.4,60.0,24.1,20.3
2025-09-20T13:53:44.774000+00:00,9900,1269,1014.1,1,152,1.8,59.0,24.1,20.3
2025-09-20T13:54:44.764000+00:00,9900,1269,1014.0,1,109,1.6,59.0,24.0,20.2
2025-09-20T13:55:44.766000+00:00,9900,1269,1013.9,0,359,1.9,59.0,24.0,20.2
2025-09-20T13:56:44.765000+00:00,9900,1269,1014.1,0,95,1.2,60.0,23.9,20.2
2025-09-20T13:57:44.766000+00:00,9900,1269,1013.9,1,331,2.3,60.0,23.9,20.2
2025-09-20T13:58:44.767000+00:00,9900,1269,1013.8,1,41,1.4,60.0,23.9,20.3
2025-09-20T13:59:44.773000+00:00,9900,1269,1013.9,1,85,2.1,60.0,23.9,20.3
2025-09-20T14:00:44.768000+00:00,9900,1269,1014.1,1,108,3.3,60.0,23.7,20.3
