date,session_key,driver_number,position,meeting_key
2025-09-20T12:02:00.292000+00:00,9900,27,8,1269
2025-09-20T12:02:00.292000+00:00,9900,55,9,1269
2025-09-20T12:02:00.292000+00:00,9900,14,10,1269
2025-09-20T12:02:00.292000+00:00,9900,43,11,1269
2025-09-20T12:02:00.292000+00:00,9900,22,12,1269
2025-09-20T12:02:00.292000+00:00,9900,31,13,1269
2025-09-20T12:02:00.292000+00:00,9900,5,14,1269
2025-09-20T12:02:00.292000+00:00,9900,10,15,1269
2025-09-20T12:02:00.292000+00:00,9900,18,16,1269
2025-09-20T12:02:03.891000+00:00,9900,4,3,1269
2025-09-20T12:02:03.891000+00:00,9900,44,4,1269
2025-09-20T12:02:03.891000+00:00,9900,87,5,1269
2025-09-20T12:02:03.891000+00:00,9900,30,6,1269
2025-09-20T12:02:03.891000+00:00,9900,16,7,1269
2025-09-20T12:02:03.891000+00:00,9900,6,8,1269
2025-09-20T12:02:03.891000+00:00,9900,27,2,1269
2025-09-20T12:02:08.641000+00:00,9900,4,4,1269
2025-09-20T12:02:08.641000+00:00,9900,44,5,1269
2025-09-20T12:02:08.641000+00:00,9900,87,6,1269
2025-09-20T12:02:08.641000+00:00,9900,30,7,1269
2025-09-20T12:02:08.641000+00:00,9900,16,8,1269
2025-09-20T12:02:08.641000+00:00,9900,6,9,1269
2025-09-20T12:02:08.641000+00:00,9900,55,10,1269
2025-09-20T12:02:08.641000+00:00,9900,14,11,1269
2025-09-20T12:02:08.641000+00:00,9900,43,12,1269
2025-09-20T12:02:08.641000+00:00,9900,22,13,1269
2025-09-20T12:02:08.641000+00:00,9900,31,14,1269
2025-09-20T12:02:08.641000+00:00,9900,5,3,1269
2025-09-20T12:02:09.487000+00:00,9900,1,18,1269
2025-09-20T12:02:09.487000+00:00,9900,81,19,1269
2025-09-20T12:02:09.487000+00:00,9900,12,20,1269
2025-09-20T12:02:09.487000+00:00,9900,63,6,1269
2025-09-20T12:02:09.487000+00:00,9900,87,7,1269
2025-09-20T12:02:09.487000+00:00,9900,30,8,1269
2025-09-20T12:02:09.487000+00:00,9900,16,9,1269
2025-09-20T12:02:09.487000+00:00,9900,6,10,1269
2025-09-20T12:02:09.487000+00:00,9900,55,11,1269
2025-09-20T12:02:09.487000+00:00,9900,14,12,1269
2025-09-20T12:02:09.487000+00:00,9900,43,13,1269
2025-09-20T12:02:09.487000+00:00,9900,22,14,1269
2025-09-20T12:02:09.487000+00:00,9900,31,15,1269
2025-09-20T12:02:09.487000+00:00,9900,10,16,1269
2025-09-20T12:02:09.487000+00:00,9900,18,17,1269
2025-09-20T12:02:14.891000+00:00,9900,4,5,1269
2025-09-20T12:02:14.891000+00:00,9900,44,6,1269
2025-09-20T12:02:14.891000+00:00,9900,63,7,1269
2025-09-20T12:02:14.891000+00:00,9900,87,2,1269
2025-09-20T12:02:14.891000+00:00,9900,27,3,1269
2025-09-20T12:02:14.891000+00:00,9900,5,4,1269
2025-09-20T12:02:15.078000+00:00,9900,1,19,1269
2025-09-20T12:02:15.078000+00:00,9900,81,20,1269
2025-09-20T12:02:15.078000+00:00,9900,12,7,1269
2025-09-20T12:02:15.078000+00:00,9900,63,8,1269
2025-09-20T12:02:15.078000+00:00,9900,30,9,1269
2025-09-20T12:02:15.078000+00:00,9900,16,10,1269
2025-09-20T12:02:15.078000+00:00,9900,6,11,1269
2025-09-20T12:02:15.078000+00:00,9900,55,12,1269
2025-09-20T12:02:15.078000+00:00,9900,14,13,1269
2025-09-20T12:02:15.078000+00:00,9900,43,14,1269
2025-09-20T12:02:15.078000+00:00,9900,22,15,1269
2025-09-20T12:02:15.078000+00:00,9900,31,16,1269
2025-09-20T12:02:15.078000+00:00,9900,10,17,1269
2025-09-20T12:02:15.078000+00:00,9900,18,18,1269
2025-09-20T12:02:23.078000+00:00,9900,4,6,1269
2025-09-20T12:02:23.078000+00:00,9900,44,7,1269
2025-09-20T12:02:23.078000+00:00,9900,12,8,1269
2025-09-20T12:02:23.078000+00:00,9900,63,9,1269
2025-09-20T12:02:23.078000+00:00,9900,30,10,1269
2025-09-20T12:02:23.078000+00:00,9900,16,11,1269
2025-09-20T12:02:23.078000+00:00,9900,6,12,1269
2025-09-20T12:02:23.078000+00:00,9900,55,13,1269
2025-09-20T12:02:23.078000+00:00,9900,14,14,1269
2025-09-20T12:02:23.078000+00:00,9900,43,15,1269
2025-09-20T12:02:23.078000+00:00,9900,22,16,1269
2025-09-20T12:02:23.078000+00:00,9900,31,4,1269
2025-09-20T12:02:23.078000+00:00,9900,5,5,1269
2025-09-20T12:02:28.735000+00:00,9900,4,7,1269
2025-09-20T12:02:28.735000+00:00,9900,44,8,1269
2025-09-20T12:02:28.735000+00:00,9900,12,9,1269
2025-09-20T12:02:28.735000+00:00,9900,63,10,1269
2025-09-20T12:02:28.735000+00:00,9900,30,11,1269
2025-09-20T12:02:28.735000+00:00,9900,16,12,1269
2025-09-20T12:02:28.735000+00:00,9900,6,13,1269
2025-09-20T12:02:28.735000+00:00,9900,55,14,1269
2025-09-20T12:02:28.735000+00:00,9900,14,15,1269
2025-09-20T12:02:28.735000+00:00,9900,43,4,1269
2025-09-20T12:02:28.735000+00:00,9900,31,5,1269
2025-09-20T12:02:28.735000+00:00,9900,5,6,1269
2025-09-20T12:02:33.937000+00:00,9900,1,8,1269
2025-09-20T12:02:33.937000+00:00,9900,44,9,1269
2025-09-20T12:02:33.937000+00:00,9900,12,10,1269
2025-09-20T12:02:33.937000+00:00,9900,63,11,1269
2025-09-20T12:02:33.937000+00:00,9900,30,12,1269
2025-09-20T12:02:33.937000+00:00,9900,16,13,1269
2025-09-20T12:02:33.937000+00:00,9900,6,14,1269
2025-09-20T12:02:33.937000+00:00,9900,55,15,1269
2025-09-20T12:02:33.937000+00:00,9900,14,16,1269
2025-09-20T12:02:33.937000+00:00,9900,22,17,1269
2025-09-20T12:02:33.937000+00:00,9900,10,18,1269
2025-09-20T12:02:33.937000+00:00,9900,18,19,1269
2025-09-20T12:02:40.460000+00:00,9900,4,8,1269
2025-09-20T12:02:40.460000+00:00,9900,1,9,1269
2025-09-20T12:02:40.460000+00:00,9900,44,10,1269
2025-09-20T12:02:40.460000+00:00,9900,12,11,1269
2025-09-20T12:02:40.460000+00:00,9900,63,12,1269
2025-09-20T12:02:40.460000+00:00,9900,30,13,1269
2025-09-20T12:02:40.460000+00:00,9900,16,14,1269
2025-09-20T12:02:40.460000+00:00,9900,6,15,1269
2025-09-20T12:02:40.460000+00:00,9900,55,4,1269
2025-09-20T12:02:40.460000+00:00,9900,43,5,1269
2025-09-20T12:02:40.460000+00:00,9900,31,6,1269
2025-09-20T12:02:40.460000+00:00,9900,5,7,1269
2025-09-20T12:02:46.596000+00:00,9900,4,9,1269
2025-09-20T12:02:46.596000+00:00,9900,1,10,1269
2025-09-20T12:02:46.596000+00:00,9900,44,11,1269
2025-09-20T12:02:46.596000+00:00,9900,12,12,1269
2025-09-20T12:02:46.596000+00:00,9900,63,13,1269
2025-09-20T12:02:46.596000+00:00,9900,30,14,1269
2025-09-20T12:02:46.596000+00:00,9900,16,15,1269
2025-09-20T12:02:46.596000+00:00,9900,6,3,1269
2025-09-20T12:02:46.596000+00:00,9900,27,4,1269
2025-09-20T12:02:46.596000+00:00,9900,55,5,1269
2025-09-20T12:02:46.596000+00:00,9900,43,6,1269
2025-09-20T12:02:46.596000+00:00,9900,31,7,1269
2025-09-20T12:02:46.596000+00:00,9900,5,8,1269
2025-09-20T12:02:53.866000+00:00,9900,81,11,1269
2025-09-20T12:02:53.866000+00:00,9900,44,12,1269
2025-09-20T12:02:53.866000+00:00,9900,12,13,1269
2025-09-20T12:02:53.866000+00:00,9900,63,14,1269
2025-09-20T12:02:53.866000+00:00,9900,30,15,1269
2025-09-20T12:02:53.866000+00:00,9900,16,16,1269
2025-09-20T12:02:53.866000+00:00,9900,14,17,1269
2025-09-20T12:02:53.866000+00:00,9900,22,18,1269
2025-09-20T12:02:53.866000+00:00,9900,10,19,1269
2025-09-20T12:02:53.866000+00:00,9900,18,20,1269
2025-09-20T12:02:56.547000+00:00,9900,4,10,1269
2025-09-20T12:02:56.547000+00:00,9900,1,11,1269
2025-09-20T12:02:56.547000+00:00,9900,81,12,1269
2025-09-20T12:02:56.547000+00:00,9900,44,13,1269
2025-09-20T12:02:56.547000+00:00,9900,12,14,1269
2025-09-20T12:02:56.547000+00:00,9900,63,15,1269
2025-09-20T12:02:56.547000+00:00,9900,30,16,1269
2025-09-20T12:02:56.547000+00:00,9900,16,17,1269
2025-09-20T12:02:56.547000+00:00,9900,14,18,1269
2025-09-20T12:02:56.547000+00:00,9900,22,19,1269
2025-09-20T12:02:56.547000+00:00,9900,10,9,1269
2025-09-20T12:03:05.846000+00:00,9900,4,11,1269
2025-09-20T12:03:05.846000+00:00,9900,1,12,1269
2025-09-20T12:03:05.846000+00:00,9900,81,13,1269
2025-09-20T12:03:05.846000+00:00,9900,44,14,1269
2025-09-20T12:03:05.846000+00:00,9900,12,15,1269
2025-09-20T12:03:05.846000+00:00,9900,63,16,1269
2025-09-20T12:03:05.846000+00:00,9900,30,3,1269
2025-09-20T12:03:05.846000+00:00,9900,6,4,1269
2025-09-20T12:03:05.846000+00:00,9900,27,5,1269
2025-09-20T12:03:05.846000+00:00,9900,55,6,1269
2025-09-20T12:03:05.846000+00:00,9900,43,7,1269
2025-09-20T12:03:05.846000+00:00,9900,31,8,1269
2025-09-20T12:03:05.846000+00:00,9900,5,9,1269
2025-09-20T12:03:05.846000+00:00,9900,10,10,1269
2025-09-20T12:03:14.962000+00:00,9900,4,12,1269
2025-09-20T12:03:14.962000+00:00,9900,1,13,1269
2025-09-20T12:03:14.962000+00:00,9900,81,14,1269
2025-09-20T12:03:14.962000+00:00,9900,44,15,1269
2025-09-20T12:03:14.962000+00:00,9900,12,16,1269
2025-09-20T12:03:14.962000+00:00,9900,63,17,1269
2025-09-20T12:03:14.962000+00:00,9900,16,18,1269
2025-09-20T12:03:14.962000+00:00,9900,14,7,1269
2025-09-20T12:03:14.962000+00:00,9900,43,8,1269
2025-09-20T12:03:14.962000+00:00,9900,31,9,1269
2025-09-20T12:03:14.962000+00:00,9900,5,10,1269
2025-09-20T12:03:14.962000+00:00,9900,10,11,1269
2025-09-20T12:03:21.521000+00:00,9900,4,13,1269
2025-09-20T12:03:21.521000+00:00,9900,1,14,1269
2025-09-20T12:03:21.521000+00:00,9900,81,15,1269
2025-09-20T12:03:21.521000+00:00,9900,44,16,1269
2025-09-20T12:03:21.521000+00:00,9900,12,17,1269
2025-09-20T12:03:21.521000+00:00,9900,63,18,1269
2025-09-20T12:03:21.521000+00:00,9900,16,19,1269
2025-09-20T12:03:21.521000+00:00,9900,22,20,1269
