date,session_key,meeting_key,position,driver_number
2025-11-08T18:07:19.459000+00:00,9865,1273,14,1
2025-11-08T18:07:19.459000+00:00,9865,1273,15,16
2025-11-08T18:07:19.459000+00:00,9865,1273,16,44
2025-11-08T18:07:19.459000+00:00,9865,1273,17,22
2025-11-08T18:07:24.271000+00:00,9865,1273,8,4
2025-11-08T18:07:24.271000+00:00,9865,1273,1,81
2025-11-08T18:07:24.271000+00:00,9865,1273,2,27
2025-11-08T18:07:24.271000+00:00,9865,1273,3,10
2025-11-08T18:07:24.271000+00:00,9865,1273,4,30
2025-11-08T18:07:24.271000+00:00,9865,1273,5,31
2025-11-08T18:07:24.271000+00:00,9865,1273,6,87
2025-11-08T18:07:24.271000+00:00,9865,1273,7,43
2025-11-08T18:07:35.743000+00:00,9865,1273,9,4
2025-11-08T18:07:35.743000+00:00,9865,1273,3,14
2025-11-08T18:07:35.743000+00:00,9865,1273,4,10
2025-11-08T18:07:35.743000+00:00,9865,1273,5,30
2025-11-08T18:07:35.743000+00:00,9865,1273,6,31
2025-11-08T18:07:35.743000+00:00,9865,1273,7,87
2025-11-08T18:07:35.743000+00:00,9865,1273,8,43
2025-11-08T18:07:47.369000+00:00,9865,1273,10,4
2025-11-08T18:07:47.369000+00:00,9865,1273,11,55
2025-11-08T18:07:47.369000+00:00,9865,1273,12,6
2025-11-08T18:07:47.369000+00:00,9865,1273,13,23
2025-11-08T18:07:47.369000+00:00,9865,1273,14,18
2025-11-08T18:07:47.369000+00:00,9865,1273,15,1
2025-11-08T18:07:47.369000+00:00,9865,1273,16,16
2025-11-08T18:07:47.369000+00:00,9865,1273,9,44
2025-11-08T18:07:52.719000+00:00,9865,1273,2,81
2025-11-08T18:07:52.719000+00:00,9865,1273,3,27
2025-11-08T18:07:52.719000+00:00,9865,1273,4,14
2025-11-08T18:07:52.719000+00:00,9865,1273,5,10
2025-11-08T18:07:52.719000+00:00,9865,1273,6,30
2025-11-08T18:07:52.719000+00:00,9865,1273,7,31
2025-11-08T18:07:52.719000+00:00,9865,1273,1,87
2025-11-08T18:07:55.435000+00:00,9865,1273,11,4
2025-11-08T18:07:55.435000+00:00,9865,1273,12,55
2025-11-08T18:07:55.435000+00:00,9865,1273,6,6
2025-11-08T18:07:55.435000+00:00,9865,1273,7,30
2025-11-08T18:07:55.435000+00:00,9865,1273,8,31
2025-11-08T18:07:55.435000+00:00,9865,1273,9,43
2025-11-08T18:07:55.435000+00:00,9865,1273,10,44
2025-11-08T18:08:03.208000+00:00,9865,1273,3,81
2025-11-08T18:08:03.208000+00:00,9865,1273,4,27
2025-11-08T18:08:03.208000+00:00,9865,1273,5,14
2025-11-08T18:08:03.208000+00:00,9865,1273,6,10
2025-11-08T18:08:03.208000+00:00,9865,1273,7,6
2025-11-08T18:08:03.208000+00:00,9865,1273,8,30
2025-11-08T18:08:03.208000+00:00,9865,1273,2,31
2025-11-08T18:08:05.129000+00:00,9865,1273,12,4
2025-11-08T18:08:05.129000+00:00,9865,1273,13,55
2025-11-08T18:08:05.129000+00:00,9865,1273,14,23
2025-11-08T18:08:05.129000+00:00,9865,1273,15,18
2025-11-08T18:08:05.129000+00:00,9865,1273,16,1
2025-11-08T18:08:05.129000+00:00,9865,1273,17,16
2025-11-08T18:08:05.129000+00:00,9865,1273,11,22
2025-11-08T18:08:09.806000+00:00,9865,1273,13,4
2025-11-08T18:08:09.806000+00:00,9865,1273,14,55
2025-11-08T18:08:09.806000+00:00,9865,1273,15,23
2025-11-08T18:08:09.806000+00:00,9865,1273,9,18
2025-11-08T18:08:09.806000+00:00,9865,1273,10,43
2025-11-08T18:08:09.806000+00:00,9865,1273,11,44
2025-11-08T18:08:09.806000+00:00,9865,1273,12,22
2025-11-08T18:08:12.086000+00:00,9865,1273,4,81
2025-11-08T18:08:12.086000+00:00,9865,1273,5,27
2025-11-08T18:08:12.086000+00:00,9865,1273,6,14
